seqid	protein_class	prot_len	mean_disorder	frac_disordered	has_prd
INT_ApGIN4b	INT	566	0.3108	0.2686	0
INT_ApGIN4c	INT	341	0.1972	0.1466	0
INT_ApGIN4d	INT	342	0.2827	0.1784	0
INT_ApGIN4e	INT	298	0.1357	0.0	0
INT_ApGIN4f	INT	397	0.0964	0.0	0
INT_ApGIN5b	INT	331	0.2302	0.136	0
INT_ApGIN5c	INT	327	0.2752	0.1835	0
INT_ApGIN5e	INT	329	0.3686	0.2462	0
INT_ApGIN5f	INT	298	0.0971	0.0	0
INT_ApGIN6a	INT	423	0.0963	0.0	0
INT_ApGIN6b	INT	292	0.1812	0.0788	0
INT_ApGIN6c	INT	265	0.2861	0.2415	0
INT_ApGIN7a	INT	167	0.1479	0.0	0
INT_ApGIN7b	INT	280	0.123	0.0	0
INT_ApGIN7c	INT	377	0.2087	0.1565	0
INT_ApGIN7d	INT	378	0.1559	0.0556	0
INT_ApCIN1a	INT	302	0.097	0.0596	0
INT_ApCIN1b	INT	686	0.0984	0.0306	0
INT_ApCIN1c	INT	555	0.1171	0.0378	0
INT_ApCIN1d	INT	299	0.1106	0.0	0
INT_ApCIN1n	INT	279	0.1295	0.0	0
INT_ApCIN1e	INT	294	0.1083	0.0	0
INT_ApCIN1f	INT	408	0.2664	0.1078	0
INT_ApCIN1j	INT	310	0.0995	0.0516	0
INT_GiCIN1	INT	357	0.0661	0.0	0
INT_MbCIN1	INT	390	0.1703	0.1179	0
INT_NveCIN1-2	INT	205	0.1284	0.0	0
INT_DpCIN1	INT	324	0.0938	0.0	0
INT_CbCIN1	INT	411	0.1807	0.0608	0
INT_CiCIN1	INT	1122	0.1035	0.0446	0
INT_CcCIN1	INT	226	0.25	0.146	0
INT_DrCIN1	INT	705	0.0667	0.0	0
INT_GfCIN1	INT	307	0.0966	0.0	0
INT_HmCIN1	INT	353	0.241	0.221	0
INT_NvCIN1	INT	413	0.1369	0.0533	0
INT_SmCIN1_Repbaseaccession_Polinton-1_SM	INT	354	0.1131	0.0	0
INT_SpCIN1	INT	286	0.116	0.0	0
INT_TcCIN1	INT	289	0.1016	0.0	0
INT_XtCIN1	INT	381	0.1631	0.1102	0
INT_XmCIN1	INT	367	0.1432	0.0	0
INT_BtCGIN1	INT	393	0.1483	0.0331	0
INT_EcCGIN1	INT	393	0.1095	0.0	0
INT_HsCGIN1	INT	393	0.1039	0.0	0
INT_CfCGIN1	INT	393	0.1265	0.0	0
INT_MmCGIN1	INT	392	0.1292	0.0	0
NYN_BtCGIN1	NYN	208	0.1693	0.1538	0
NYN_EcCGIN1	NYN	208	0.2024	0.1587	0
NYN_HsCGIN1	NYN	208	0.2172	0.1635	0
NYN_CfCGIN1	NYN	208	0.2116	0.1587	0
NYN_MmCGIN1	NYN	206	0.1969	0.1505	0
RNaseH_BtCGIN1	RNaseH	508	0.2563	0.1201	0
RNaseH_EcCGIN1	RNaseH	507	0.2259	0.0888	0
RNaseH_HsCGIN1	RNaseH	506	0.2241	0.0929	0
RNaseH_CfCGIN1	RNaseH	506	0.1886	0.0751	0
RNaseH_MmCGIN1	RNaseH	504	0.2412	0.1151	0
INT_GgGIN2	INT	422	0.239	0.2464	0
INT_DrGIN2-1	INT	433	0.2988	0.3025	0
INT_AcGIN2	INT	251	0.2808	0.3307	0
INT_XtGIN2	INT	413	0.259	0.2688	0
INT_MeGIN2	INT	329	0.1502	0.1216	0
INT_TgGIN2	INT	428	0.337	0.3505	0
INT_RcGIN2	INT	296	0.1715	0.0	0
INT_XlGIN2	INT	423	0.2441	0.2553	0
INT_DrGIN2-2	INT	245	0.1851	0.1143	0
INT_OnGIN2	INT	178	0.1334	0.0	0
INT_FrGIN2	INT	232	0.1376	0.0	0
INT_CiGIN2	INT	440	0.2302	0.175	0
INT_CsGIN2	INT	285	0.1483	0.0667	0
INT_AcGIN1	INT	324	0.1123	0.0	0
INT_OaGIN1	INT	520	0.3487	0.275	0
INT_MdGIN1	INT	530	0.3123	0.2434	0
INT_TgGIN1	INT	527	0.2432	0.1917	0
INT_PaGIN1	INT	522	0.1668	0.0	0
INT_MfGIN1	INT	522	0.1635	0.0	0
INT_BtGIN1	INT	499	0.2841	0.0621	0
INT_SsGIN1	INT	522	0.1518	0.0268	0
INT_EcGIN1	INT	520	0.1563	0.0	0
INT_CfGIN1	INT	523	0.1482	0.0268	0
INT_GgGIN1	INT	526	0.2876	0.2148	0
INT_HsGIN1	INT	522	0.1651	0.069	0
INT_MmGIN1	INT	518	0.1781	0.0618	0
INT_RnGIN1	INT	518	0.2018	0.0927	0
TR_NvGINGER2-1_Repbaseaccession_Ginger2-1_NV	TR	552	0.2948	0.2264	0
TR_NvGINGER2-2_Repbaseaccession_Ginger2-2_NV	TR	528	0.2953	0.233	0
TR_HmGINGER2-1_Repbaseaccession_Ginger2-1_HM	TR	732	0.2472	0.1284	0
TR_LsGINGER2-1_Repbaseaccession_Ginger2-1_LS	TR	884	0.4232	0.3699	0
TR_BfGINGER2-1_Repbaseaccession_Ginger2-1_BF	TR	581	0.2216	0.1119	0
TR_MgGINGER2	TR	568	0.3942	0.3345	0
TR_BmGINGER2a	TR	275	0.1329	0.0	0
TR_BmGINGER2b	TR	378	0.1441	0.0344	0
TR_ApGINGER2a	TR	343	0.1972	0.0408	0
TR_ApGINGER2b	TR	419	0.0879	0.0	0
TR_ApGINGER2f	TR	552	0.1959	0.0652	0
TR_RpGINGER2b	TR	424	0.3882	0.4929	0
TR_RpGINGER2a	TR	252	0.0954	0.0	0
CHR_REM1	CHR	111	0.4109	0.2973	0
CHR_G-Rhodo	CHR	101	0.3763	0.3663	0
CHR_Amn-ichi	CHR	111	0.6258	1.0	0
CHR_Amn-ni	CHR	88	0.3754	0.3182	0
CHR_Amn-san	CHR	122	0.4753	0.2869	0
ORFX_K-HERV	ORFX	91	0.2233	0.0	0
AP_ORFVII_PCSV_second_nonpol_PR_domain	AP	143	0.0925	0.0	0
AP_CterMOV_CSVMV_second_nonpol_PR_domain	AP	168	0.0619	0.0	0
ORFB_PCSV	ORFB	244	0.2542	0.0738	0
ORFC_PCSV	ORFC	127	0.3536	0.2992	0
ORFA_PCSV	ORFA	122	0.2354	0.2541	0
ORF8_CmYLCV	ORF8	86	0.7547	1.0	0
ORF3_Boudicca	ORF3	82	0.4574	0.378	0
RNaseH_LLDAV	RNaseH	122	0.0983	0.0	0
CHR_CoDi4.3	CHR	54	0.3184	0.0	0
CHR_CoDi4.1	CHR	54	0.3609	0.0	0
CHR_CoDi4.4	CHR	54	0.4389	0.3333	0
CHR_CoDi4.5	CHR	53	0.6121	1.0	0
CHR_CoDi3.1	CHR	53	0.6161	1.0	0
CHR_CoDi2.4	CHR	55	0.3504	0.0	0
CHR_CoDi7.1	CHR	52	0.2324	0.0	0
VAP_ScBIMV	VAP	185	0.088	0.0	0
ORF2_ScBIMV	ORF2	123	0.3177	0.0	0
ORFgp7_RuFDV	ORFgp7	169	0.2344	0.0	0
ORFgp3_RuFDV	ORFgp3	188	0.1783	0.0	0
ORFgp1_RuFDV	ORFgp1	112	0.1566	0.0	0
dUTPase_DBV	dUTPase	88	0.1013	0.0	0
ORF2_DBV	ORF2	126	0.1637	0.0	0
VAP_DBV	VAP	143	0.0972	0.0	0
ORF2_KTSV	ORF2	124	0.2848	0.2419	0
VAP_KTSV	VAP	173	0.0533	0.0	0
ORF6_CYMV	ORF6	154	0.2529	0.2013	0
ORF5_CYMV	ORF5	95	0.2987	0.1368	0
ORF4_CYMV	ORF4	148	0.3535	0.3176	0
ORF2_CYMV	ORF2	138	0.3008	0.1739	0
VAP_CYMV	VAP	143	0.0631	0.0	0
VAP_BsCVBV	VAP	132	0.125	0.0	0
ORF2_BsCVBV	ORF2	147	0.1755	0.0	0
ORF4_BsCVBV	ORF4	198	0.3999	0.3939	0
dUTPase_TaBV	dUTPase	114	0.1805	0.114	0
ORF2_TaBV	ORF2	144	0.2465	0.1111	0
VAP_TaBV	VAP	146	0.0535	0.0	0
VAP_DrMV	VAP	149	0.0747	0.0	0
ORF2_DrMV	ORF2	131	0.2342	0.0	0
ORF4_DrMV	ORF4	103	0.8417	1.0	0
ORF5_DrMV	ORF5	100	0.8332	1.0	0
ORF6_DrMV	ORF6	139	0.2386	0.1583	0
ORF7_DrMV	ORF7	100	0.8726	1.0	0
VAP_CSSV	VAP	143	0.0749	0.0	0
ORF2_CSSV	ORF2	132	0.2285	0.0	0
ORFX_CSSV	ORFX	113	0.5525	0.6283	0
ORFY_CSSV	ORFY	131	0.2529	0.1832	0
ORF2_ComYMV	ORF2	135	0.2029	0.0	0
VAP_ComYMV	VAP	200	0.1002	0.0	0
ORF2_CLNV	ORF2	128	0.267	0.2812	0
VAP_CLNV	VAP	175	0.0879	0.0	0
ORF2_BSVAV	ORF2	132	0.2052	0.0	0
VAP_BSVAV	VAP	145	0.1534	0.0	0
ORF2_BSMyV	ORF2	132	0.2263	0.0	0
ORF2_BSGFV	ORF2	112	0.2636	0.2411	0
VAP_BSGFV	VAP	175	0.081	0.0	0
ORFVII_MiMV	ORFVII	75	0.4805	1.0	0
VAP_BSOLV	VAP	177	0.0558	0.0	0
ORF2_BSOLV	ORF2	134	0.3608	0.4403	0
ORF1a_CmYLCV	ORF1a	89	0.2839	0.2584	0
ORFB_CmYLCV	ORFB	201	0.1361	0.0	0
TAV_CSVMV	TAV	392	0.1421	0.0995	0
ORF2_CSVMV	ORF2	71	0.1888	0.0	0
ORF8_SbCMV	ORF8	84	0.6318	1.0	0
ORF1b_SbCMV	ORF1b	116	0.3941	0.3621	0
ORFB_SbCMV	ORFB	201	0.2658	0.3433	0
AP_ORFVII_SbCMV_second_nonpol_PR_domain	AP	148	0.1193	0.0	0
ORFP24_RTBV	ORFP24	199	0.1062	0.0	0
ORFP12_RTBV	ORFP12	110	0.3757	0.3545	0
ORFP46_RTBV	ORFP46	389	0.0845	0.0	0
ORF7_FMV	ORF7	66	0.1263	0.0	0
ORF7_CaMV	ORF7	100	0.4149	0.41	0
ORFB_BRRV	ORFB	186	0.0998	0.0	0
ORFC_BRRV	ORFC	199	0.3832	0.3317	0
AP_ORF7_BRRV_second_nonpol_PR_domain	AP	142	0.1191	0.0	0
ORFA_BRRV	ORFA	122	0.3109	0.2049	0
MOV_CSVMV	MOV	288	0.0684	0.0	0
ORF1_Nterdomain_CSVMV	ORF1_Nterdomain	465	0.3051	0.2516	0
INT_PVCV	INT	464	0.4941	0.4935	0
ORF1_DrFV-1	ORF1	444	0.0954	0.0	0
ORF2_DrFV-1	ORF2	604	0.1346	0.0679	0
ORF3_DrFV-1	ORF3	161	0.3627	0.3975	0
ORF4_DrFV-1	ORF4	234	0.5125	0.4658	0
AP_Oryco1-1	AP	106	0.2208	0.0	0
BEL1_BFV	BEL1	249	0.5009	0.494	0
BEL2_BFV	BEL2	335	0.3588	0.3433	0
BEL2_EFV	BEL2	329	0.3505	0.2796	0
BEL1_EFV	BEL1	249	0.4593	0.4337	0
BEL1_FFV	BEL1	209	0.5722	0.6124	0
BEL2_FFV	BEL2	275	0.1901	0.0509	0
ENV_TorTL1	ENV	651	0.4282	0.4777	0
INT_Purbel	INT	494	0.1179	0.0	0
INT_Roo	INT	520	0.1303	0.0904	0
ENV_roo	ENV	560	0.0961	0.0	0
GAG_Nabel	GAG	353	0.1923	0.0963	0
ENV_Cer7	ENV	765	0.3796	0.3386	0
ENV_Tas	ENV	592	0.2242	0.1689	0
AP_CoDi4.3	AP	191	0.1301	0.0	0
AP_CoDi7.1	AP	90	0.1624	0.0	0
AP_BSGFV	AP	96	0.093	0.0	0
AP_KTSV	AP	95	0.1541	0.0	0
AP_BSVAV	AP	96	0.0764	0.0	0
AP_BSMyV	AP	97	0.1455	0.0	0
AP_CLNV	AP	97	0.3156	0.2577	0
AP_DrMV	AP	98	0.1519	0.0	0
AP_BsCVBV	AP	96	0.2512	0.0	0
AP_ScBIMV	AP	98	0.1325	0.0	0
AP_ComYMV	AP	97	0.0926	0.0	0
AP_DBV	AP	97	0.1253	0.0	0
AP_CYMV	AP	98	0.2694	0.2041	0
AP_BSOLV	AP	94	0.1562	0.0	0
AP_TaBV	AP	97	0.1374	0.0	0
AP_CSSV	AP	97	0.1639	0.0	0
AP_CSVMV	AP	94	0.0895	0.0	0
AP_TVCV	AP	93	0.1521	0.0	0
AP_CaMV	AP	92	0.1094	0.0	0
AP_EVCV	AP	91	0.2026	0.0	0
AP_LLDAV	AP	92	0.1054	0.0	0
AP_CERV	AP	92	0.1364	0.0	0
AP_FMV	AP	92	0.1078	0.0	0
AP_MiMV	AP	92	0.137	0.0	0
AP_SVBV	AP	92	0.1392	0.0	0
AP_RuFDV	AP	96	0.1807	0.0	0
AP_SbCMV	AP	90	0.1225	0.0	0
AP_PCSV	AP	92	0.1268	0.0	0
AP_BRRV	AP	92	0.2506	0.0	0
AP_CmYLCV	AP	90	0.1208	0.0	0
AP_PVCV	AP	97	0.1074	0.0	0
AP_RTBV	AP	99	0.1578	0.0	0
ATF_EVCV	ATF	159	0.1775	0.0	0
ATF_SVBV	ATF	161	0.2078	0.0	0
ATF_FMV	ATF	164	0.1671	0.0	0
ATF_CERV	ATF	167	0.1938	0.0	0
ATF_LLDAV	ATF	167	0.1563	0.0	0
ATF_CaMV	ATF	159	0.2292	0.0	0
ATF_MiMV	ATF	165	0.2299	0.0	0
GAGCOAT_BRRV	GAGCOAT	332	0.254	0.241	0
GAGCOAT_PCSV	GAGCOAT	321	0.2372	0.1745	0
GAGCOAT_SbCMV	GAGCOAT	316	0.2127	0.1646	0
GAGCOAT_CmYLCV	GAGCOAT	329	0.1862	0.1125	0
GAGCOAT_TVCV	GAGCOAT	319	0.2423	0.3166	0
GAGCOAT_CSVMV	GAGCOAT	316	0.2662	0.2405	0
GAGCOAT_CERV	GAGCOAT	317	0.2312	0.1703	0
GAGCOAT_CaMV	GAGCOAT	309	0.2686	0.246	0
GAGCOAT_SVBV	GAGCOAT	329	0.2414	0.2219	0
GAGCOAT_MiMV	GAGCOAT	319	0.2713	0.1944	0
GAGCOAT_FMV	GAGCOAT	318	0.2087	0.195	0
GAGCOAT_LLDAV	GAGCOAT	316	0.2185	0.1677	0
GAGCOAT_EVCV	GAGCOAT	321	0.2877	0.3645	0
GAGCOAT_CLNV	GAGCOAT	465	0.2779	0.2215	0
GAGCOAT_BSMyV	GAGCOAT	473	0.2396	0.1903	0
GAGCOAT_BSVAV	GAGCOAT	479	0.2384	0.1608	0
GAGCOAT_BSGFV	GAGCOAT	474	0.2778	0.23	0
GAGCOAT_KTSV	GAGCOAT	541	0.3248	0.2033	0
GAGCOAT_PVCV	GAGCOAT	381	0.4009	0.4619	0
GAGCOAT_RTBV	GAGCOAT	431	0.2185	0.1601	0
GAGCOAT_ComYMV	GAGCOAT	494	0.2279	0.1559	0
GAGCOAT_CYMV	GAGCOAT	480	0.222	0.1167	0
GAGCOAT_CSSV	GAGCOAT	485	0.2873	0.2351	0
GAGCOAT_BSOLV	GAGCOAT	484	0.2992	0.2851	0
GAGCOAT_BsCVBV	GAGCOAT	486	0.3272	0.3004	0
GAGCOAT_TaBV	GAGCOAT	487	0.3466	0.3265	0
GAGCOAT_DrMV	GAGCOAT	481	0.2421	0.1206	0
GAGCOAT_DBV	GAGCOAT	611	0.1892	0.1522	0
GAGCOAT_ScBIMV	GAGCOAT	678	0.2896	0.2035	0
GAGCOAT_RuFDV	GAGCOAT	423	0.3191	0.3215	0
TAV_CaMV	TAV	476	0.301	0.2794	0
TAV_CERV	TAV	472	0.2801	0.2754	0
TAV_LLDAV	TAV	491	0.2542	0.1914	0
TAV_EVCV	TAV	462	0.231	0.1797	0
TAV_MiMV	TAV	486	0.2968	0.2654	0
TAV_FMV	TAV	470	0.2656	0.217	0
TAV_SVBV	TAV	479	0.2974	0.2589	0
TAV_PCSV	TAV	407	0.1599	0.0319	0
TAV_SbCMV	TAV	420	0.102	0.0	0
TAV_CmYLCV	TAV	505	0.2933	0.2257	0
TAV_BRRV	TAV	402	0.1033	0.0	0
TAV_TVCV	TAV	404	0.3071	0.3465	0
TAV_RuFDV	TAV	339	0.1417	0.1593	0
MOV_KTSV	MOV	250	0.2121	0.14	0
MOV_BSGFV	MOV	249	0.1062	0.0	0
MOV_CmYLCV	MOV	238	0.0833	0.0	0
MOV_SbCMV	MOV	235	0.1059	0.0	0
MOV_LLDAV	MOV	243	0.0747	0.0	0
MOV_CaMV	MOV	242	0.0968	0.0	0
MOV_FMV	MOV	242	0.1158	0.0	0
MOV_EVCV	MOV	236	0.0825	0.0	0
MOV_CERV	MOV	237	0.1319	0.0	0
MOV_SVBV	MOV	239	0.0917	0.0	0
MOV_BRRV	MOV	241	0.1052	0.0	0
MOV_PCSV	MOV	241	0.1143	0.0	0
MOV_TVCV	MOV	236	0.0726	0.0	0
MOV_PVCV	MOV	234	0.0798	0.0	0
MOV_RTBV	MOV	247	0.146	0.0648	0
MOV_DrMV	MOV	255	0.1265	0.0	0
MOV_TaBV	MOV	244	0.1875	0.127	0
MOV_CYMV	MOV	238	0.128	0.0588	0
MOV_DBV	MOV	244	0.0653	0.0	0
MOV_ScBIMV	MOV	245	0.127	0.0	0
MOV_RuFDV	MOV	241	0.0953	0.0	0
MOV_ComYMV	MOV	243	0.2154	0.1564	0
MOV_CSSV	MOV	243	0.136	0.0905	0
MOV_BSOLV	MOV	242	0.1507	0.0992	0
MOV_BsCVBV	MOV	243	0.211	0.177	0
MOV_BSVAV	MOV	250	0.1177	0.0	0
MOV_BSMyV	MOV	258	0.1531	0.0	0
MOV_CLNV	MOV	248	0.0929	0.0	0
MOV_MiMV	MOV	265	0.1525	0.0491	0
RNaseH_CERV	RNaseH	122	0.1243	0.0	0
RNaseH_CaMV	RNaseH	126	0.1093	0.0	0
RNaseH_MiMV	RNaseH	124	0.115	0.0	0
RNaseH_FMV	RNaseH	123	0.105	0.0	0
RNaseH_SVBV	RNaseH	123	0.1001	0.0	0
RNaseH_EVCV	RNaseH	127	0.0867	0.0	0
RNaseH_CmYLCV	RNaseH	131	0.1208	0.0	0
RNaseH_BRRV	RNaseH	159	0.1078	0.0	0
RNaseH_SbCMV	RNaseH	176	0.3556	0.358	0
RNaseH_PCSV	RNaseH	195	0.3256	0.2513	0
RNaseH_PVCV	RNaseH	121	0.1019	0.0	0
RNaseH_BSVAV	RNaseH	127	0.1103	0.0	0
RNaseH_KTSV	RNaseH	125	0.0847	0.0	0
RNaseH_BSMyV	RNaseH	124	0.1018	0.0	0
RNaseH_CLNV	RNaseH	127	0.1474	0.0	0
RNaseH_BSGFV	RNaseH	127	0.1236	0.0	0
RNaseH_CSVMV	RNaseH	125	0.1287	0.0	0
RNaseH_TVCV	RNaseH	124	0.1545	0.0	0
RNaseH_RTBV	RNaseH	127	0.1626	0.0	0
RNaseH_BsCVBV	RNaseH	127	0.1712	0.0	0
RNaseH_CYMV	RNaseH	127	0.1026	0.0	0
RNaseH_TaBV	RNaseH	127	0.0923	0.0	0
RNaseH_ComYMV	RNaseH	127	0.1066	0.0	0
RNaseH_DBV	RNaseH	127	0.1232	0.0	0
RNaseH_DrMV	RNaseH	127	0.119	0.0	0
RNaseH_CSSV	RNaseH	127	0.1279	0.0	0
RNaseH_BSOLV	RNaseH	127	0.1074	0.0	0
RNaseH_ScBIMV	RNaseH	127	0.1102	0.0	0
RNaseH_RuFDV	RNaseH	123	0.1387	0.0	0
RT_CaMV	RT	305	0.1249	0.0	0
RT_CERV	RT	305	0.2455	0.2852	0
RT_LLDAV	RT	305	0.1112	0.0	0
RT_MiMV	RT	305	0.1191	0.0	0
RT_FMV	RT	305	0.0967	0.0	0
RT_EVCV	RT	305	0.0979	0.0	0
RT_SVBV	RT	308	0.0863	0.0	0
RT_CmYLCV	RT	310	0.1485	0.0516	0
RT_SbCMV	RT	311	0.1271	0.0	0
RT_BRRV	RT	309	0.0947	0.0	0
RT_PCSV	RT	307	0.1046	0.0	0
RT_CSVMV	RT	306	0.1405	0.0	0
RT_TVCV	RT	303	0.1351	0.0627	0
RT_BSVAV	RT	314	0.0996	0.0	0
RT_BSGFV	RT	314	0.1149	0.0	0
RT_KTSV	RT	309	0.1362	0.0	0
RT_BSMyV	RT	314	0.132	0.0669	0
RT_CLNV	RT	321	0.1438	0.0	0
RT_PVCV	RT	301	0.1168	0.0	0
RT_RTBV	RT	305	0.0605	0.0	0
RT_CSSV	RT	314	0.0905	0.0	0
RT_CYMV	RT	314	0.0907	0.0	0
