tip	gag_len	mean_disorder	frac_disordered	longest_idr	n_idr	nterm40_disorder
VMV	435	0.1428	0.0299	13	1	0.3369
WdSV	487	0.3364	0.3039	76	2	0.1406
Woot	425	0.5863	0.5906	126	2	0.8745
XEN1	385	0.3864	0.3844	116	2	0.9354
Xanthias	260	0.1876	0.0615	16	1	0.1475
Yokozuna	292	0.3672	0.2603	76	1	0.2802
Yoyo	470	0.4974	0.5	197	2	0.8695
ZFERV-2	588	0.4259	0.517	169	3	0.4564
Zam	343	0.3874	0.4402	78	2	0.9261
Zebel	310	0.1736	0.1323	41	1	0.1609
Zeco1	264	0.1958	0.1098	29	1	0.2078
Zeco2	237	0.2743	0.2869	68	1	0.2194
marY1	372	0.3497	0.4355	120	2	0.3793
pCal	324	0.2394	0.2099	52	2	0.4119
pCretro3	259	0.2894	0.2896	75	1	0.2389
pCretro6	287	0.3633	0.3415	74	2	0.5746
rGmr1	252	0.1708	0.127	32	1	0.1134
